jobId,jobSize (MB),totalSeconds,throughput (Mbps),concurrency,parallelism,pipelining,sourceType,destType
12020,326417.514496,116,2813.944090482759,6,6,25,http,vfs
12023,326417.514496,141,2315.017833304965,6,6,25,http,vfs
12025,326417.514496,117,2789.8932862905986,6,6,25,http,vfs
12026,326417.514496,102,3200.171710745098,6,6,25,http,vfs
12026,326417.514496,102,3200.171710745098,6,6,25,http,vfs
12026,326417.514496,102,3200.171710745098,6,6,25,http,vfs
12026,326417.514496,102,3200.171710745098,6,6,25,http,vfs
12026,326417.514496,102,3200.171710745098,6,6,25,http,vfs
12026,326417.514496,102,3200.171710745098,6,6,25,http,vfs
12026,326417.514496,102,3200.171710745098,6,6,25,http,vfs
12026,326417.514496,102,3200.171710745098,6,6,25,http,vfs
12039,326417.514496,124,2632.399310451613,6,6,25,http,vfs
12040,326417.514496,101,3231.856579168317,6,6,25,http,vfs
12041,326417.514496,105,3108.7382332952384,6,6,25,http,vfs
12042,326417.514496,121,2697.6654090578513,6,6,25,http,vfs
12043,326417.514496,123,2653.800930861789,6,6,25,http,vfs
12044,326417.514496,95,3435.9738368000003,6,6,25,http,vfs
12045,326417.514496,102,3200.171710745098,6,6,25,http,vfs
12046,326417.514496,118,2766.250122847458,6,6,25,http,vfs
12047,326417.514496,112,2914.442093714286,6,6,25,http,vfs
12048,326417.514496,128,2550.136832,6,6,25,http,vfs
12069,326417.514496,93,3509.8657472688174,6,6,8,http,vfs
12070,326417.514496,129,2530.368329426357,6,6,8,http,vfs
12071,326417.514496,129,2530.368329426357,6,6,8,http,vfs
12072,326417.514496,120,2720.1459541333334,6,6,8,http,vfs
12073,326417.514496,123,2653.800930861789,6,6,8,http,vfs
12074,326417.514496,101,3231.856579168317,6,6,8,http,vfs
12075,326417.514496,103,3169.102082485437,6,6,8,http,vfs
12076,326417.514496,98,3330.790964244898,6,6,8,http,vfs
12077,326417.514496,103,3169.102082485437,6,6,8,http,vfs
12078,326417.514496,103,3169.102082485437,6,6,8,http,vfs
